agno;mes;RBD;Establecimiento;Codigo;Enseñanza;Nivel;Letra;Porc_de_Asistencia;Matrícula_cierre_mes;;;;;;
2025;1.Marzo;10547;Escuela Republica Del Brasil;110;Enseñanza Básica;2° básico;A;82%;17;;;;;;
2025;1.Marzo;10547;Escuela Republica Del Brasil;110;Enseñanza Básica;3° básico;A;81%;10;;;;;;
2025;1.Marzo;10547;Escuela Republica Del Brasil;110;Enseñanza Básica;4° básico;A;88%;21;;;;;;
2025;1.Marzo;10547;Escuela Republica Del Brasil;110;Enseñanza Básica;5° básico;A;90%;29;;;;;;
2025;1.Marzo;10547;Escuela Republica Del Brasil;110;Enseñanza Básica;6° básico;A;88%;22;;;;;;
2025;1.Marzo;10547;Escuela Republica Del Brasil;110;Enseñanza Básica;7° básico;A;88%;21;;;;;;
2025;1.Marzo;10547;Escuela Republica Del Brasil;110;Enseñanza Básica;8° básico;A;88%;24;;;;;;
2025;1.Marzo;10548;Escuela Isabel Riquelme;10;Educación Parvularia;1er nivel de Transición (Prekinder);A;73%;17;;;;;;
2025;1.Marzo;10548;Escuela Isabel Riquelme;10;Educación Parvularia;2° nivel de Transición (Kinder);A;86%;9;;;;;;
2025;1.Marzo;10548;Escuela Isabel Riquelme;110;Enseñanza Básica;1° básico;A;84%;14;;;;;;
2025;1.Marzo;10548;Escuela Isabel Riquelme;110;Enseñanza Básica;2° básico;A;86%;21;;;;;;
2025;1.Marzo;10548;Escuela Isabel Riquelme;110;Enseñanza Básica;3° básico;A;88%;18;;;;;;
2025;1.Marzo;10548;Escuela Isabel Riquelme;110;Enseñanza Básica;4° básico;A;79%;19;;;;;;
2025;1.Marzo;10548;Escuela Isabel Riquelme;110;Enseñanza Básica;5° básico;A;95%;23;;;;;;
2025;1.Marzo;10548;Escuela Isabel Riquelme;110;Enseñanza Básica;6° básico;A;92%;21;;;;;;
2025;1.Marzo;10548;Escuela Isabel Riquelme;110;Enseñanza Básica;7° básico;A;88%;24;;;;;;
2025;1.Marzo;10548;Escuela Isabel Riquelme;110;Enseñanza Básica;8° básico;A;92%;23;;;;;;
2025;1.Marzo;10550;Escuela Libertador General Bernardo O'Higgins;10;Educación Parvularia;1er nivel de Transición (Prekinder);A;94%;9;;;;;;
2025;1.Marzo;10550;Escuela Libertador General Bernardo O'Higgins;10;Educación Parvularia;2° nivel de Transición (Kinder);A;93%;18;;;;;;
2025;1.Marzo;10550;Escuela Libertador General Bernardo O'Higgins;110;Enseñanza Básica;1° básico;A;92%;33;;;;;;
2025;1.Marzo;10550;Escuela Libertador General Bernardo O'Higgins;110;Enseñanza Básica;2° básico;A;92%;32;;;;;;
2025;1.Marzo;10550;Escuela Libertador General Bernardo O'Higgins;110;Enseñanza Básica;3° básico;A;82%;19;;;;;;
2025;1.Marzo;10550;Escuela Libertador General Bernardo O'Higgins;110;Enseñanza Básica;4° básico;A;94%;21;;;;;;
2025;1.Marzo;10550;Escuela Libertador General Bernardo O'Higgins;110;Enseñanza Básica;5° básico;A;95%;29;;;;;;
2025;1.Marzo;10550;Escuela Libertador General Bernardo O'Higgins;110;Enseñanza Básica;6° básico;A;96%;25;;;;;;
2025;1.Marzo;10550;Escuela Libertador General Bernardo O'Higgins;110;Enseñanza Básica;7° básico;A;96%;21;;;;;;
2025;1.Marzo;10550;Escuela Libertador General Bernardo O'Higgins;110;Enseñanza Básica;8° básico;A;92%;27;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;110;Enseñanza Básica;8° básico;A;82%;20;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;A;79%;26;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;B;84%;26;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;C;87%;27;;;;;;
2025;1.Marzo;10551;Liceo Polivalente Lucila Godoy Alcayaga;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;A;73%;23;;;;;;
