agno,mes,RBD,%Asistencia,Matrícula,RBD_Establecimiento,Enseñanza,Nivel,Letra
2025,1.Marzo,10554,0.86,18,10554 Escuela General Rene Schneider Chereau,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10554,0.91,21,10554 Escuela General Rene Schneider Chereau,110,1° Básico,A
2025,1.Marzo,10554,0.86,20,10554 Escuela General Rene Schneider Chereau,110,2° Básico,A
2025,1.Marzo,10554,0.9,33,10554 Escuela General Rene Schneider Chereau,110,3° Básico,A
2025,1.Marzo,10554,0.91,28,10554 Escuela General Rene Schneider Chereau,110,4° Básico,A
2025,1.Marzo,10554,0.93,25,10554 Escuela General Rene Schneider Chereau,110,5° Básico,A
2025,1.Marzo,10554,0.9,31,10554 Escuela General Rene Schneider Chereau,110,6° Básico,A
2025,1.Marzo,10554,0.88,33,10554 Escuela General Rene Schneider Chereau,110,7° Básico,A
2025,1.Marzo,10554,0.92,28,10554 Escuela General Rene Schneider Chereau,110,8° Básico,A
2025,1.Marzo,10555,0.91,25,10555 Escuela Basica Base El Bosque,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10555,0.96,27,10555 Escuela Basica Base El Bosque,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10555,0.92,31,10555 Escuela Basica Base El Bosque,110,1° Básico,A
2025,1.Marzo,10555,0.95,37,10555 Escuela Basica Base El Bosque,110,2° Básico,A
2025,1.Marzo,10555,0.92,30,10555 Escuela Basica Base El Bosque,110,3° Básico,A
2025,1.Marzo,10555,0.94,35,10555 Escuela Basica Base El Bosque,110,4° Básico,A
2025,1.Marzo,10555,0.95,33,10555 Escuela Basica Base El Bosque,110,5° Básico,A
2025,1.Marzo,10555,0.95,34,10555 Escuela Basica Base El Bosque,110,6° Básico,A
2025,1.Marzo,10555,0.94,31,10555 Escuela Basica Base El Bosque,110,7° Básico,A
2025,1.Marzo,10555,0.95,30,10555 Escuela Basica Base El Bosque,110,8° Básico,A
2025,1.Marzo,10555,0.84,7,10555 Escuela Basica Base El Bosque,165,Nivel Básico 3 (7° y 8° Básico),A
2025,1.Marzo,10555,0.94,16,10555 Escuela Basica Base El Bosque,363,1er Nivel (1° y 2° Medio),A
2025,1.Marzo,10555,0.92,15,10555 Escuela Basica Base El Bosque,363,1er Nivel (1° y 2° Medio),B
2025,1.Marzo,10555,0.91,14,10555 Escuela Basica Base El Bosque,363,2do Nivel (3° y 4° Medio),A
2025,1.Marzo,10555,0.93,15,10555 Escuela Basica Base El Bosque,363,2do Nivel (3° y 4° Medio),B
2025,1.Marzo,10555,0.91,15,10555 Escuela Basica Base El Bosque,363,2do Nivel (3° y 4° Medio),C
2025,1.Marzo,10556,0.76,4,10556 Escuela Alemania,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10556,0.73,15,10556 Escuela Alemania,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10556,0.78,14,10556 Escuela Alemania,110,1° Básico,A
2025,1.Marzo,10556,0.82,25,10556 Escuela Alemania,110,2° Básico,A
2025,1.Marzo,10556,0.76,14,10556 Escuela Alemania,110,3° Básico,A
2025,1.Marzo,10556,0.84,31,10556 Escuela Alemania,110,4° Básico,A
2025,1.Marzo,10556,0.88,25,10556 Escuela Alemania,110,5° Básico,A
2025,1.Marzo,10556,0.85,31,10556 Escuela Alemania,110,6° Básico,A
2025,1.Marzo,10556,0.84,22,10556 Escuela Alemania,110,7° Básico,A
2025,1.Marzo,10556,0.91,26,10556 Escuela Alemania,110,8° Básico,A
2025,1.Marzo,10557,1.0,6,10557 Escuela General Alberto A. Bachelet Martinez,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10557,0.88,16,10557 Escuela General Alberto A. Bachelet Martinez,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10557,0.88,20,10557 Escuela General Alberto A. Bachelet Martinez,110,1° Básico,A
2025,1.Marzo,10557,0.92,28,10557 Escuela General Alberto A. Bachelet Martinez,110,2° Básico,A
2025,1.Marzo,10557,0.93,34,10557 Escuela General Alberto A. Bachelet Martinez,110,3° Básico,A
2025,1.Marzo,10557,0.93,40,10557 Escuela General Alberto A. Bachelet Martinez,110,4° Básico,A
2025,1.Marzo,10557,0.94,36,10557 Escuela General Alberto A. Bachelet Martinez,110,5° Básico,A
2025,1.Marzo,10557,0.94,37,10557 Escuela General Alberto A. Bachelet Martinez,110,6° Básico,A
2025,1.Marzo,10557,0.92,34,10557 Escuela General Alberto A. Bachelet Martinez,110,7° Básico,A
